//=============================================================================
// Shadow Shaman Mass Serpent Ward
//=============================================================================
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward"                         "Mass Serpent Ward"
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Description"             "Summons %ward_count% Serpent Wards to attack enemy units and structures. The Wards are immune to magic."
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_scepter_description"     "Causes Serpent Wards to have split shot, attacking two units for full damage. Increases attack range of Serpent Wards."
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Lore"                    "Snake charming was a big part of the Shadow Shaman's act; now Rhasta can empower the snakes to do his bidding."
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_duration"                "DURATION:"
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_damage_tooltip"          "ATTACK DAMAGE:"
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_attack_range_tooltip"    "ATTACK RANGE:"
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_hits_to_destroy_tooltip"  "HITS TO DESTROY:"
// "DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_hits_to_destroy_tooltip_creeps"  "CREEP HITS TO DESTROY:"

"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa"                      "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward}"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_Description"          "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Description}\n<font color='#FFA500'>Wards do full damage to heroes and bonus magic damage against Bosses.</font>"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_scepter_description"  "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_scepter_description}"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_Lore"                 "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Lore}"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_duration"             "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_duration}"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_damage_tooltip"       "WARD DAMAGE:"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_bonus_damage_against_bosses"  "%<font color='#FFA500'>WARD BONUS DAMAGE AGAINST BOSSES:</font>"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_attack_range_tooltip"  "WARD ATTACK RANGE:"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_hits_to_destroy_tooltip"  "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_hits_to_destroy_tooltip}"
"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_oaa_hits_to_destroy_tooltip_creeps"  "#{DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_hits_to_destroy_tooltip_creeps}"
